Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Absolutely Torqued,Wild Westchester Sharpshooters,Quarter-finals,long-island-classic-2023,"[21, 25]","[15, 23]",Contender (4.5)
Low Expectations,Chicken Wing,Quarter-finals,long-island-classic-2023,"[21, 21]","[17, 7]",Contender (4.5)
Absolutely Torqued,Low Expectations,Semi-finals,long-island-classic-2023,"[21, 21]","[10, 12]",Contender (4.5)
Asioneer,Bootycheeks,Final,long-island-classic-2023,"[21, 22, 21]","[18, 24, 13]",Contender (4.5)
Asioneer,Laf Spikes,1st place,long-island-classic-2023,"[19, 21, 21]","[21, 17, 11]",Contender (4.5)
Buffet?,Bootycheeks,1st place,long-island-classic-2023,"[25, 15]","[27, 21]",Contender (4.5)
Asioneer,Beefcakes,3rd place,long-island-classic-2023,"[21, 21]","[17, 14]",Contender (4.5)
Laf Spikes,Pigeon,3rd place,long-island-classic-2023,"[21, 21]","[13, 10]",Contender (4.5)
Ryde or Di,Buffet?,3rd place,long-island-classic-2023,"[21, 19, 19]","[14, 21, 21]",Contender (4.5)
Bootycheeks,Happy Heffalumps,3rd place,long-island-classic-2023,"[16, 21, 21]","[21, 16, 17]",Contender (4.5)
Asioneer,Harold and Kumar,Semi-finals,long-island-classic-2023,"[21, 21]","[14, 15]",Contender (4.5)
Beefcakes,Lamontagne/Wanderer,Semi-finals,long-island-classic-2023,"[21, 24]","[19, 22]",Contender (4.5)
Laf Spikes,I like oreos,Semi-finals,long-island-classic-2023,"[21, 21]","[11, 13]",Contender (4.5)
The Last Dance,Pigeon,Semi-finals,long-island-classic-2023,"[21, 21, 14]","[23, 14, 21]",Contender (4.5)
Ryde or Di,The Jungle Boys,Semi-finals,long-island-classic-2023,"[21, 21]","[13, 7]",Contender (4.5)
Borderline Misconduct,Buffet?,Semi-finals,long-island-classic-2023,"[17, 12]","[21, 21]",Contender (4.5)
Bootycheeks,Hamblet/Gao,Semi-finals,long-island-classic-2023,"[21, 21]","[12, 18]",Contender (4.5)
Chaos Wizards,Happy Heffalumps,Semi-finals,long-island-classic-2023,"[15, 16]","[21, 21]",Contender (4.5)
Chicken Wing,Wild Westchester Sharpshooters,P5: Semi-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Buffet?,Laf Spikes,P5: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Slammo Gods,Out spin the pocket,P9: Quarter-finals,long-island-classic-2023,"[10, 5]","[15, 15]",Contender (4.5)
Can't believe it's not butter,tweeners?,P9: Quarter-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Pigeon,Beefcakes,9th place,long-island-classic-2023,"[0, 0]","[1, 1]",Contender (4.5)
Happy Heffalumps,Ryde or Di,9th place,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Fresh Cuts,:->,P17: Round of 16,long-island-classic-2023,"[1, 1]","[0, 0]",Contender (4.5)
Big Duck Roundnet,Mr. Mackey’s Mmkays,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Academic Integrity,Straw Hat Pirates,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
BDR Two Pump Chumps,Naughty Naughty,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Lamontagne/Wanderer,Harold and Kumar,19th place,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
I like oreos,The Last Dance,19th place,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Borderline Misconduct,The Jungle Boys,19th place,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Hamblet/Gao,Chaos Wizards,19th place,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Crestwood's Finest,Loopy Juice,Round of 16,long-island-classic-2023,"[21, 21]","[10, 17]",Advanced (4.0)
Hit and Run,The Soaring Riegels,Round of 16,long-island-classic-2023,"[21, 21]","[10, 9]",Advanced (4.0)
aced and confused,Galaticos,Round of 16,long-island-classic-2023,"[21, 21]","[6, 13]",Advanced (4.0)
Pulchritudinous Callipygians,Crestwood's Finest,Quarter-finals,long-island-classic-2023,"[21, 21]","[16, 15]",Advanced (4.0)
Hit and Run,aced and confused,Quarter-finals,long-island-classic-2023,"[16, 21, 19]","[21, 19, 21]",Advanced (4.0)
Pulchritudinous Callipygians,aced and confused,Semi-finals,long-island-classic-2023,"[21, 21]","[16, 16]",Advanced (4.0)
Panda,Gonne Spikin',Final,long-island-classic-2023,"[21, 21]","[12, 18]",Advanced (4.0)
Panda,Jabronis,1st place,long-island-classic-2023,"[21, 21]","[9, 5]",Advanced (4.0)
Gonne Spikin',Shanghai Sharks,1st place,long-island-classic-2023,"[21, 21]","[15, 18]",Advanced (4.0)
Panda,Amateur Hitmen,3rd place,long-island-classic-2023,"[1, 1]","[0, 0]",Advanced (4.0)
Will-DUH-beasts,Jabronis,3rd place,long-island-classic-2023,"[21, 14, 19]","[15, 21, 21]",Advanced (4.0)
Gonne Spikin',Dirty Mike and the Boys,3rd place,long-island-classic-2023,"[21, 21]","[13, 17]",Advanced (4.0)
Shanghai Sharks,East End Boys,3rd place,long-island-classic-2023,"[21, 21]","[7, 11]",Advanced (4.0)
Hit and Run,Crestwood's Finest,P5: Semi-finals,long-island-classic-2023,"[21, 21]","[0, 0]",Advanced (4.0)
Shanghai Sharks,Jabronis,P5: Final,long-island-classic-2023,"[21, 1]","[16, 0]",Advanced (4.0)
Galaticos,The Soaring Riegels,P9: Quarter-finals,long-island-classic-2023,"[0, 0]","[1, 1]",Advanced (4.0)
Loopy Juice,The Soaring Riegels,P9: Semi-finals,long-island-classic-2023,"[15, 15]","[6, 8]",Advanced (4.0)
Will-DUH-beasts,Dirty Mike and the Boys,P9: Final,long-island-classic-2023,"[19, 0]","[21, 1]",Advanced (4.0)
Will-DUH-beasts,Amateur Hitmen,9th place,long-island-classic-2023,"[1, 1]","[0, 0]",Advanced (4.0)
East End Boys,Dirty Mike and the Boys,9th place,long-island-classic-2023,"[0, 0]","[1, 1]",Advanced (4.0)
East End Boys,Amateur Hitmen,P13: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced (4.0)
East End Boys,Amateur Hitmen,P13: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced (4.0)
Fear,Bad Bunnies,Quarter-finals,long-island-classic-2023,"[21, 23]","[19, 21]",Intermediate (3.0)
Dirty Mike and the Boys,Fear,Semi-finals,long-island-classic-2023,"[0, 0]","[1, 1]",Intermediate (3.0)
Amateur Hitmen,Tom and Joey,Final,long-island-classic-2023,"[1, 1]","[0, 0]",Intermediate (3.0)
Tom and Joey,Sean and Logan,1st place,long-island-classic-2023,"[21, 17, 21]","[8, 21, 18]",Intermediate (3.0)
Jumbo Shrimp,Shear Delight,Quarter-finals,long-island-classic-2023,"[1, 1]","[0, 0]",Mixed / Co-ED Advanced (4.0+)
California Girls,Jumbo Shrimp,Semi-finals,long-island-classic-2023,"[19, 21, 21]","[21, 13, 14]",Mixed / Co-ED Advanced (4.0+)
Lamontagne/Bingham,Avec Dream,Final,long-island-classic-2023,"[21, 21]","[12, 17]",Mixed / Co-ED Advanced (4.0+)
