Team Name,Wins,Losses,Result,Division,Tournament
Insystem,7,0,1,Elite/Premier,springslam2023
Wesburn,5,2,2,Elite/Premier,springslam2023
Groovy,4,1,3,Elite/Premier,springslam2023
X Factor,3,2,4,Elite/Premier,springslam2023
UBC Roundnet,4,2,5,Elite/Premier,springslam2023
Justin,3,4,6,Elite/Premier,springslam2023
Fortified,1,4,7,Elite/Premier,springslam2023
wraith and gibby,1,4,7,Elite/Premier,springslam2023
bruh,0,5,9,Elite/Premier,springslam2023
KB24 E,0,4,9,Elite/Premier,springslam2023
852Rising,9,0,1,Advanced,springslam2023
Tang/Wozniak,8,2,2,Advanced,springslam2023
Vic Rusteez,8,1,3,Advanced,springslam2023
Two peas in a pot,3,7,4,Advanced,springslam2023
SEA Hype Train,7,3,5,Advanced,springslam2023
Skandalous,6,4,6,Advanced,springslam2023
Rain Rain Go Away,3,7,7,Advanced,springslam2023
Lochside Lizards,4,6,8,Advanced,springslam2023
The Benchwarmers,5,4,9,Advanced,springslam2023
Bop or Shots,7,3,10,Advanced,springslam2023
SEA Skabadoosh,3,6,11,Advanced,springslam2023
Spikeaholics Anonymous,2,8,12,Advanced,springslam2023
Lobster Trap,1,7,13,Advanced,springslam2023
Lord of the Rims,0,8,13,Advanced,springslam2023
Apple sauce 🍎 🛸,7,0,1,Intermediate,springslam2023
Golden Eagles,5,2,2,Intermediate,springslam2023
no name,5,3,3,Intermediate,springslam2023
ogre watch,2,6,4,Intermediate,springslam2023
Casey,2,4,5,Intermediate,springslam2023
Ain't S*** Funny,0,6,5,Intermediate,springslam2023
