,Name,Rating,Adjusted Rating,Games
240,gabriel finocchi,385.9631897535918,385.9631897535918,131
618,thomas hamilton,280.29245043239115,280.29245043239115,176
606,will picone,280.17949074919045,280.17949074919045,144
635,ryan marino,275.0461400936745,275.0461400936745,181
609,joe bondi,262.9112702597897,262.9112702597897,112
1124,etienne cote,262.3784583909103,262.3784583909103,147
1071,xande plaisted,257.17874312856827,257.17874312856827,53
677,justin barr,247.75886254725546,247.75886254725546,149
626,matthew cole,244.0557224414806,244.0557224414806,132
596,ryder rivadeneyra,251.1834817656548,243.43048270074942,37
1123,blake bosak,240.21309896193472,240.21309896193472,126
820,noah luskus,239.57390307409034,239.57390307409034,132
1027,colin tolentino,239.02959412019558,239.02959412019558,70
595,clark marshall,238.87243270462648,238.87243270462648,77
832,owen lippman,235.5438462558385,235.5438462558385,133
605,ryan gross,231.82152117948075,231.82152117948075,148
664,grant klapwijk,230.1016529998649,230.1016529998649,137
600,rahul murthy,229.72279354499906,229.72279354499906,142
597,grant laughlin,223.10169955235799,223.101699552358,81
613,buddy hammon,217.20760410949362,217.20760410949362,61
622,kieran rose,216.54235852185587,216.54235852185587,210
1053,emerson dean,215.7670958980211,215.76709589802107,91
1226,vincent mathieu,212.27635920184792,212.27635920184792,117
805,christian bennett,212.20000969108617,212.20000969108617,146
634,patric chu,212.06723955909825,212.06723955909823,92
666,jack bushart,211.5065864191227,211.5065864191227,88
335,fredric hinkle,211.19834585002795,211.19834585002795,182
675,andrew sullivan,209.921831625243,209.921831625243,129
665,nick evanko,208.78694828556195,208.78694828556195,91
1570,eisentrager lukas,207.7843680401961,207.78436804019609,54
1571,paul siemer,207.7843680401961,207.78436804019609,54
20,josh fragiacomo,207.1599997032325,207.1599997032325,143
642,caleb cummings,205.5472457616036,205.5472457616036,142
837,west peterson,204.62690945033827,204.62690945033827,127
1039,chris brown,204.2773319469698,204.2773319469698,99
282,alex newton,203.00383720924106,203.00383720924106,55
599,max model,202.80155763424753,202.80155763424753,94
1008,ben pernfuss,201.67858753186061,201.67858753186061,65
500,dawson morgan,200.84322918207386,200.84322918207386,155
1144,paq clifford,200.3849477007814,200.3849477007814,48
973,tyler babin,199.52808739267888,199.5280873926789,99
61,connor nelson,199.50005390512823,199.50005390512823,122
610,matthew burrows,199.05053098628164,199.05053098628164,170
302,levi vandaele,198.54681448152672,198.54681448152672,61
65,ryan oswalt,198.47569581448707,198.47569581448707,58
691,jenson miller,196.37491921883256,196.37491921883256,107
668,clifford amadeo leveque,195.91237529400848,195.91237529400848,127
508,jack coolbaugh,194.678192446812,194.678192446812,69
1128,elie pilon,193.65051273018938,193.65051273018938,80
341,ramon felix,195.06644250432157,192.85559500422107,42
834,polk denmark,192.67264846406528,192.67264846406528,79
880,brendan ferreira,192.205816287744,192.20581628774403,119
212,corey weiss,191.0194477064653,191.0194477064653,99
1145,malachi espinola,190.84661369972235,190.84661369972235,52
815,peter lu,190.62703188493572,190.62703188493575,56
611,cade larson,189.7705969438536,189.7705969438536,132
1464,kurt lannetti,187.73089117713826,187.73089117713826,62
704,michael barkman,187.51525427332945,187.51525427332945,86
674,henry pilliod,185.13713917442098,185.13713917442098,111
55,samuel buckman,183.15275766008602,183.152757660086,57
329,mathias gangkofner,182.88784830419027,182.88784830419027,54
603,luke mowry,182.20832220339844,182.20832220339844,79
614,dan abrams,181.61543756645028,181.61543756645025,111
1290,guillaume bilodeau,195.45395287585742,181.41660686470192,29
1140,maxime prince,180.9607083066812,180.9607083066812,57
1141,samuel prince,180.9607083066812,180.9607083066812,57
672,neal bergman,180.80165847107813,180.80165847107813,85
539,hayden flood,187.38250971677894,180.29744136136443,34
841,stephen jones,177.95085843449408,177.95085843449408,57
1004,adam hassan,177.7202002109803,177.7202002109803,78
671,chris wilkins,177.22471913137517,177.22471913137517,76
509,jared beaufait,176.69920935291933,176.69920935291933,82
1972,trey thompson,176.46183331445457,176.46183331445454,47
29,nick wideman,176.0915454792168,176.0915454792168,108
1587,mathias linnet,175.91644696407684,175.91644696407684,69
1225,cole model,175.82338299962777,175.82338299962777,70
142,samuel corey,175.12679966406483,175.12679966406483,132
165,lance risler,177.57927753744988,173.4961576670578,36
1231,tyler fernandez,173.4714673479195,173.4714673479195,128
249,demitri forand,173.37871872772251,173.37871872772251,87
319,robin florinda,172.38066618702348,172.38066618702348,75
1060,justin shaytar,171.87192551094512,171.87192551094512,114
930,jacob summers,171.22395903079627,171.22395903079627,66
361,esaja ekman,171.08245920744153,171.08245920744153,49
284,ethan ferland,175.25305869254512,169.1514593390955,34
673,caleb shorter,169.053406754322,169.053406754322,110
84,joseph kaylor,168.79688012501197,168.79688012501197,87
710,kyle fowler,168.7029008612332,168.7029008612332,96
317,gabriel stoisser,168.58378583807414,168.58378583807414,84
347,timo lorenzen,168.4710761772693,168.4710761772693,72
314,fabian claus,168.4572407070928,168.4572407070928,53
17,trevor barbosa,168.3232061523535,168.3232061523535,121
24,jason rhoads,168.12889204558405,168.12889204558405,61
883,sean brown,166.70314384826287,166.70314384826287,78
318,auxence clark,167.63877028601814,166.0283233744463,41
213,matt spolarich,165.91510705629398,165.915107056294,108
617,andrew christmas,165.77442180342047,165.77442180342047,63
1582,hugo lacombe,165.74060751081862,165.74060751081862,50
250,jake mottershead,165.44310303655598,165.44310303655598,55
369,samy caux-ramon,165.37469541384175,165.37469541384175,48
