Name,Rank,Change,Rating,Wins,Losses,Tournaments,Avg Partner Rating,Avg Opp Rating
ANT TERRIGNO,405,1,90.5,17,20,4,87.97,93.06
ALEKS ESSEN,406,12,90.24,9,19,3,98.06,106.97
HARRISON YEN,407,137,90.16,5,7,2,88.69,92.57
IAN MACDONALD,408,8,90.01,11,15,3,90.01,92.79
DREW KEELY,408,8,90.01,11,15,3,90.01,92.79
DIEGO RAMIREZ,410,3,89.95,7,9,2,89.95,94.18
ROBERT PORTER,410,3,89.95,7,9,2,89.95,94.18
TYLER BROWN,412,16,89.57,13,18,4,84.81,93.17
GRANT MARSHALL,413,44,89.34,2,15,2,91.89,114.2
JOSIAH FRIEND,414,48,89.26,3,16,2,86.69,108.92
AIDAN BUCHANAN,416,18,88.68,8,15,3,97.71,98.85
NATHAN ROBERTT,417,12,88.06,7,10,2,82.22,93.83
DREW MARTIN,418,12,87.99,5,10,2,84.59,96.2
JASON INUMERABLE,419,28,87.8,17,25,4,92.45,93.25
DECLAN BROWN,420,11,87.76,6,9,2,99.21,93.07
CHARLIE CAVALLARO,421,10,87.61,9,9,2,87.61,85.85
NOAH ELCONIN,421,10,87.61,9,9,2,87.61,85.85
JONATHAN BURER,423,1,87.32,5,21,3,104.68,102.23
BRENT SUMMERS,424,5,87.18,10,12,2,87.18,91.3
ISAIAH HILLMAN,424,5,87.18,10,12,2,87.18,91.3
NOAH VASINGTON,426,10,87.01,2,23,3,93.62,118.24
MICHAEL BAGDASARIAN,427,17,86.76,6,12,2,87.14,97.34
JUDAH FRIEND,428,26,86.69,3,23,3,92.48,107.43
NOAH SADDIK,429,12,86.47,1,14,2,93.28,118.96
XANDER BUNN,430,17,86.45,11,10,2,78.93,86.92
ANDREW YAGER,431,4,86.04,7,16,2,80.59,100.81
EVAN COX,432,--,86.01,5,12,2,86.01,100.22
LEO COX,432,--,86.01,5,12,2,86.01,100.22
LUKE POPADIUK,434,8,85.86,8,13,2,91.22,90.95
BRADLEY SMITH,435,36,85.8,6,12,2,86.12,94.34
TAB DAYANI,436,18,85.76,11,14,2,91.26,88.33
THOMAS PENCE,437,14,85.55,1,15,2,95.37,116.25
BROOKS WEEKS,438,13,85.48,10,14,3,88.76,88.67
ROBERT GRIFFITH,439,30,85.44,9,12,3,86.08,90.5
HERNESTOR RAMIREZ DIAZ,440,31,85.02,8,11,2,88.46,86.9
COLLIN WICKRAMARATNA,441,6,84.98,7,11,2,84.98,90.95
NATE KUNZ,441,6,84.98,7,11,2,84.98,90.95
WILLIAM FOOTE,443,13,84.86,3,15,2,83.85,107.83
COLE KUHLERS,444,18,84.12,5,13,2,97.63,95.52
RAFI MOLDOVSKY,445,11,83.85,4,38,5,90.03,113.98
SHO M,446,4,83.76,13,17,3,90.27,87.96
NICOLAS YABAR,447,19,83.76,2,29,4,92.15,120.2
SETH CUTLER,448,17,83.7,5,12,2,82.98,93.94
DYLAN NOKER,449,179,83.25,5,8,2,81.17,89.04
NATE GAUTHIER,450,13,82.22,7,16,3,82.94,93.46
JERRY HAO,451,6,81.94,8,10,2,82.49,84.46
LUKE LITTLE,452,28,81.58,8,12,2,81.52,88.27
CALEB SCHILLING,453,4,81.49,8,15,3,83.7,89.71
JON MOE,454,2,81.06,1,13,2,81.11,111.2
JASON DAVIS,455,26,80.36,4,10,2,74.81,91.8
TAARON RUDZITIS,456,4,80.15,3,12,2,77.69,101.62
SAM DUNLEVY,457,36,80,13,22,2,78.46,88.47
BRADLEY CLARK,458,102,79.77,5,17,3,94.26,100.84
MICHAEL YUNG,459,17,79.61,3,10,2,79.61,95.23
EVAN LIAO,459,17,79.61,3,10,2,79.61,95.23
VINCE VO,461,14,79.05,7,10,2,79.05,83.83
DAVID NARA,461,14,79.05,7,10,2,79.05,83.83
SAMANTHA GREATHOUSE,463,12,78.42,10,13,2,83.87,81.59
JOEL MORRELL,464,35,78.19,2,34,4,95.37,111.78
JASON WOO,465,7,78.01,4,12,2,78.01,90.42
MATTHEW TIONGKO,465,7,78.01,4,12,2,78.01,90.42
JOSHUA MOLLINEDA,467,4,77.82,3,10,2,84.9,96.48
RUBIN CHANG,468,30,77.77,6,10,2,84.71,84.45
NAT GILLESPIE,469,15,77.71,5,14,2,79.28,91.44
MICAH WIPF,470,15,77.3,5,9,2,73.3,86.5
JOHNNIE TENG,471,18,77.11,8,21,3,84.47,91.45
BRADEN EATON,472,26,76.79,5,9,2,83.22,84.62
AMAN KHEMKA,473,9,76.02,4,10,2,76.97,90.62
ZACHARY AMENDOLA,474,15,75.09,5,12,2,74.26,88.2
LIAM WERNER,475,--,74.35,3,12,2,72.21,94.2
JACOB POGAN,476,13,74.31,2,10,2,74.7,91.71
SEAN SANTOS,477,3,72.61,3,11,2,72.03,89.13
DARYAN HOOVER,478,20,72.47,6,15,3,75.81,84.55
KORBIN THOMPSON,479,39,71.58,2,9,2,74.51,92.5
SAMANTHA BARKLOW,480,13,70.99,8,12,2,84.56,77.32
JASPER CHAPMAN,481,11,69.12,6,10,2,69.17,76.39
KYLE KEENAN,482,--,68.43,4,17,3,73.03,88.77
BENJAMIN GARDINER,483,15,68.18,4,11,2,78.4,82.17
JON MAANO,484,18,67.09,1,12,2,68.91,98.11
NOAH YOST,485,7,64.93,3,11,2,57.91,82.83
YIBIN HAN,486,3,58.81,1,11,2,58.81,83.7
DANIIL TUDER,486,3,58.81,1,11,2,58.81,83.7
LUKE NEMEC,488,8,58.74,1,17,2,60.39,92.5
AJ YOON,489,11,46.71,0,13,2,57.57,84.14
