Name,Rank,Change,Rating,Wins,Losses,Tournaments,Avg Partner Rating,Avg Opp Rating
JACK BUSHART,62,28,129.77,28,15,4,122.8,120.45
NICK NOGUEZ,63,4,129.62,51,37,7,129.6,124.77
REID LAMPERT,64,6,129.52,23,14,4,127.47,122.28
CHRIS WILKINS,65,7,129.46,38,17,5,132.34,115.8
ANDREW CHRISTMAS,66,5,129.41,57,36,8,129.73,122.51
BRANDON BROWN,67,5,129.2,47,23,6,129.42,118.09
MALACHI ESPINOLA,68,4,128.76,27,24,5,126.22,128.15
PAQ CLIFFORD,69,2,128.43,18,14,3,127.13,124.15
BRIAN CHILDS,70,1,128.41,25,12,4,125.36,118.73
JASON RHOADS,71,1,128.37,40,15,5,128.12,114.91
CALEB SHORTER,72,3,128.28,43,23,7,129.83,120
SUNNY GU,73,6,127.99,41,24,6,119.84,120.42
OLIVIER LAURIN,74,2,127.94,21,9,3,127.76,117.22
KALEB WAGNER,75,7,127.76,46,35,7,126.3,124.79
CADE LARSON,76,2,127.67,90,57,14,125.44,121.1
KURT LANNETTI,77,9,127.47,38,33,7,123.34,125.57
MATTHEW BURROWS,78,12,127.38,101,81,17,126.81,124.01
TYLER FERNANDEZ,79,6,127.12,113,66,15,128.15,118.59
KEVIN MCCLAIN,80,13,127.12,20,5,2,113.81,109.81
CHASE MEYER,81,4,125.82,73,56,11,126.66,121.28
COREY WEISS,82,2,125.77,48,33,9,121.6,120.44
REID PFUTZENREUTER,83,8,125.72,19,9,3,125.72,113.14
BENNETT ANDERSON,83,8,125.72,19,9,3,125.72,113.14
HENRY PILLIOD,85,21,125.31,49,29,8,120.71,117.86
NICK EVANKO,86,28,125.2,31,24,6,115.75,120.07
JOSH CAIN,87,2,125.05,50,37,7,124.27,120.77
LUKE MARSHALL,88,2,124.91,41,27,7,124.31,119.53
NICK WIDEMAN,89,5,124.9,60,34,8,124.79,118.16
AURIEL WISH,91,4,124.81,23,9,3,117.27,109.14
AUSTIN RAWLINGS,92,4,124.74,14,16,3,127.48,127.56
RENDALL WEAVER,93,17,124.69,34,27,6,124.49,121.17
TREVOR CLEMENTS,94,1,123.88,21,17,3,125.17,121.48
GARRETT CARVER,95,6,123.78,27,23,5,129.37,121.3
SOLOMON BERRY,96,3,123.51,24,16,4,123.86,117.76
ANDREW GUNTER,97,45,123.46,27,23,5,118.59,122.15
MATT ORTLIP,98,2,123.37,23,17,4,116.38,120.01
MATT SPOLARICH,99,6,123.1,48,42,10,123.58,120.92
NICKHIL ANANTHA,100,3,122.96,45,27,6,125.86,113.92
CONNOR NELSON,101,--,122.94,49,33,9,115.69,117.08
DEMITRI FORAND,102,2,122.65,44,27,7,116.17,116.84
JAKE LEBARON,103,1,122.6,17,15,3,117.4,121.85
LUKE PENNINGTON,104,--,122.54,37,33,7,120.83,120.91
JALEN BUTKUS,105,--,122.4,15,16,3,121.47,123.63
OWEN BASS,106,1,122.27,24,21,5,117.32,120.82
DAX O'HAIR,107,5,121.35,43,35,7,122.3,119.03
LUIS OROZCO,108,--,121.31,54,50,9,118.86,120.36
DENNIS WEI,109,9,121.22,21,7,2,122.14,105.06
TYLER CISEK,110,22,121.16,16,12,3,118.37,119.16
COLIN TOLENTINO,111,2,121.13,12,6,2,109.7,114.98
JACOB PAYER,112,1,120.97,58,48,10,122.04,118.35
BRADLEY THOMPSON,113,4,120.84,30,25,5,119.78,119.66
GARRETT ASHTON,114,6,120.73,51,36,8,118.71,116.54
JARED BEAUFAIT,115,15,120.66,28,26,5,120.86,118.32
SEAN BROWN,116,5,120.41,30,32,6,115.66,122.12
PETER LU,117,9,120.34,18,20,4,120.22,119.93
JAVIER VIDAL,118,21,120.27,28,15,4,117.02,111.35
KYAN KORNFELD,119,--,120.26,55,42,9,122.66,116.93
NOAH BEINART,120,2,120.15,21,25,4,123.7,120.54
JOEY MAICHEN,121,5,119.92,31,21,5,116.35,114.09
LUCAS PRUETT,122,21,119.91,52,43,9,116.34,117.66
TOMMY DRAKE,123,13,119.81,30,22,4,121.31,116.06
DEAN WASIL,124,1,119.75,19,14,3,120.06,114.72
KEVIN UM,125,2,119.37,20,18,4,128.5,119.44
JARED BINGHAM,126,13,119.22,32,22,6,121.78,112.66
JERRY LEE,127,1,119.05,18,12,2,119.05,114.33
