,Name,Rating,Adjusted Rating,Games
1441,micah fukuyama,88.16506977687872,98.17924150413518,8
1074,daulton monkress,90.04895524110485,98.17225708510088,9
1075,keaton hawk,90.04855066528332,98.17218277525612,9
339,jacob franssen,93.75397702705511,98.17189571523565,12
340,simen bootsma,93.75397702704865,98.17189571523375,12
686,john hickmott,88.09751822468219,98.1688489576434,8
1590,paxton sullivan,85.29042682352384,98.1613033529405,7
1591,tino soto,85.28990696883915,98.1612383711049,7
700,ian lung,85.28564569868203,98.16070571233526,7
699,ahad zafar,85.28564569868203,98.16070571233526,7
2041,kevin lui,81.57472390062883,98.15747239006288,6
1804,caleb yang,93.70456519337203,98.15743371513328,12
353,matthew krikorian,92.62012002360495,98.15503000590124,11
352,christopher de martin,92.61923817799568,98.15480954449892,11
763,arjun venigalla,96.48661580560903,98.13997307355773,18
764,jerry hao,96.48432697838376,98.13876134149729,18
1901,gabe gabrovsek,81.32280976486197,98.1322809764862,6
1902,thomas metz`,81.32196850149525,98.13219685014953,6
244,alexis hinse,89.71777834228546,98.11142867511366,9
245,simon bouchard,89.7177783422786,98.11142867511239,9
1125,nick reiniger,95.33302314383502,98.1079823556088,15
1941,griffin righi,87.69985338787743,98.10766975198113,8
1940,felix coble,87.69985330346539,98.10766973899467,8
1686,benjamin agnew,75.23801061909428,98.09523158608418,5
1603,dylan wakeley,96.39214071538531,98.08995684932164,18
1925,jack hotmire,89.58109321804498,98.08632324413071,9
110,bryan covell,97.73811456953011,98.07074477989333,29
1690,aman khemka,93.4064128519398,98.07016961520189,12
1732,william dorion,96.34857931968472,98.06689493395073,18
1731,christopher dorion,96.34843853546735,98.06682040112979,18
2069,mathieu laborde,80.49957053815015,98.049957053815,6
2070,romain delhomme,80.49856528615453,98.04985652861545,6
743,ross lochbaum,89.36003072566082,98.045719929203,9
742,nicholas bradley,89.3573562863804,98.04522870566171,9
1388,isaac wong,80.40881952366252,98.04088195236626,6
1387,gabris ni,80.40783974666826,98.04078397466682,6
230,chris hartings,93.30239399172054,98.03972507074748,12
1298,kevin cargos,90.95159869570726,98.03295623819723,10
1299,sean kellaher,90.951598695653,98.03295623818545,10
474,zach m,95.13810472586961,98.02896137535255,15
1355,matthew minchella,84.19027684152202,98.02378460519026,7
1354,kieran foord,84.19027448674196,98.02378431084274,7
19,valters salzirnis,95.08092872868848,98.00578191703588,15
18,alekss demidovs,95.08001857182417,98.0054129345233,15
1608,remy rousselle,87.02612702700772,98.00401954261658,8
1609,thomas lefebvre,87.0261270268905,98.00401954259854,8
393,jeremy lee,94.57460736224816,98.00117113345986,14
1887,nathan yu,86.93824025419853,97.99049850064593,8
1201,jose morales,89.01022684175264,97.98147023624028,9
1202,joshua calderon,89.00901468758221,97.98124759567837,9
853,caleb isbell,97.21026477477437,97.97110165438136,24
767,alexander gonzalez,97.53187495418761,97.96742643286039,28
1166,evan song,86.7536075352493,97.96209346696143,8
1167,theo freeman,86.75346472018495,97.96207149541307,8
1989,thomas le meunier,79.58066569562445,97.95806656956243,6
1988,raphael breuil,79.58066569562445,97.95806656956243,6
850,jan-peter geringer,93.6739197877979,97.94402393103431,13
851,paul gerrit winkler,93.67205940281393,97.94341930591453,13
1991,othman abdulkareem,79.43286465493335,97.94328646549334,6
1992,tyler harp,79.43226109485018,97.94322610948502,6
1592,karah hui,83.53157486905663,97.94144685863208,7
1864,vincent gagne,88.67668193572996,97.92020688615449,9
1865,eve gagne,88.67668193572989,97.92020688615447,9
664,albin janko,97.35616799075879,97.9169808412039,26
1224,thomas gammer,83.28020468653429,97.91002558581678,7
1223,brandon henni,83.2778664258919,97.9097333032365,7
1240,erik geffken,83.2431775432605,97.90539719290756,7
1241,isahi morales,83.24299327974053,97.90537415996756,7
868,elliot paul,90.34206091807577,97.90044802566864,10
869,gresham white,90.34005540072997,97.90001204363695,10
1207,dane faris,72.69937749324048,97.89995211486466,5
1208,kealohi grondin,72.69937747468725,97.89995211343748,5
1110,jacob page,92.81335102821606,97.89659054484372,12
728,benjamin livet,93.51264877261839,97.89161085110098,13
729,olivier saunier,93.51016511584164,97.89080366264854,13
1659,wesley elliott,72.51677720857808,97.88590593912139,5
1211,tabriz popatia,91.50242669655263,97.87560667413817,11
1210,legy horak,91.50170834876138,97.87542708719035,11
536,kameron truett,95.19788208705747,97.86572537202554,16
16,maximilian knoll,97.81167844918882,97.8582384821848,46
1317,ma rio,82.84528811469507,97.85566101433687,7
1191,chinmay s,88.30727479804523,97.85235659555933,9
1190,brian quach,88.3072747774061,97.85235659176847,9
1646,brian mirman,91.40862812903612,97.85215703225903,11
1645,ben harmon,91.4086280507385,97.85215701268463,11
1173,angelo ibarrola,94.16663404437323,97.85086517424277,14
1574,dylan brook,88.29145867695689,97.84945159372678,9
1573,charles bryan orodio,88.29134659949172,97.8494310080699,9
