Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Asioneer,Harold and Kumar,Round of 32,long-island-classic-2023,"[21, 21]","[14, 15]",Contender (4.5)
Lamontagne/Wanderer,Beefcakes,Round of 32,long-island-classic-2023,"[19, 22]","[21, 24]",Contender (4.5)
Pigeon,,Round of 32,long-island-classic-2023,"[23, 14, 21]","[21, 21, 14]",Contender (4.5)
,,Round of 32,long-island-classic-2023,"[21, 21]","[11, 13]",Contender (4.5)
,,Round of 32,long-island-classic-2023,"[21, 21]","[13, 7]",Contender (4.5)
,,Round of 32,long-island-classic-2023,"[21, 21]","[17, 12]",Contender (4.5)
,,Round of 32,long-island-classic-2023,"[21, 21]","[15, 16]",Contender (4.5)
,,Round of 32,long-island-classic-2023,"[21, 21]","[12, 18]",Contender (4.5)
Absolutely Torqued,Out spin the pocket,Round of 16,long-island-classic-2023,"[21, 21]","[11, 14]",Contender (4.5)
Wild Westchester Sharpshooters,Slammo Gods,Round of 16,long-island-classic-2023,"[21, 21]","[17, 15]",Contender (4.5)
Low Expectations,tweeners?,Round of 16,long-island-classic-2023,"[21, 21]","[6, 8]",Contender (4.5)
Can't believe it's not butter,Chicken Wing,Round of 16,long-island-classic-2023,"[21, 22, 22]","[15, 24, 24]",Contender (4.5)
Asioneer,Beefcakes,Round of 16,long-island-classic-2023,"[21, 21]","[17, 14]",Contender (4.5)
,,Round of 16,long-island-classic-2023,"[13, 10]","[21, 21]",Contender (4.5)
,,Round of 16,long-island-classic-2023,"[21, 19, 19]","[14, 21, 21]",Contender (4.5)
,,Round of 16,long-island-classic-2023,"[21, 16, 17]","[16, 21, 21]",Contender (4.5)
Absolutely Torqued,Wild Westchester Sharpshooters,Quarter-finals,long-island-classic-2023,"[21, 25]","[15, 23]",Contender (4.5)
Low Expectations,Chicken Wing,Quarter-finals,long-island-classic-2023,"[21, 21]","[17, 7]",Contender (4.5)
Asioneer,Laf Spikes,Quarter-finals,long-island-classic-2023,"[19, 21, 21]","[21, 17, 11]",Contender (4.5)
,,Quarter-finals,long-island-classic-2023,"[25, 15]","[27, 21]",Contender (4.5)
Absolutely Torqued,Low Expectations,Semi-finals,long-island-classic-2023,"[21, 21]","[10, 12]",Contender (4.5)
,,Semi-finals,long-island-classic-2023,"[21, 22, 21]","[18, 24, 13]",Contender (4.5)
Absolutely Torqued,Asioneer,Final,long-island-classic-2023,"[21, 17, 21]","[16, 21, 14]",Contender (4.5)
